,,,FAB-100,,,FAB-250,,,FAB-500,,
Angle,Speed,Height,Loft Time(s),Loft Dist(m),Pipper Adj,Loft Time(s),Loft Dist(m),Pipper Adj,Loft Time(s),Loft Dist(m),Pipper Adj
0,400,400,9.08,1006.882867,21.66622591,9.08,1007.918725,21.64601907,9.08,1007.857123,21.64721976
0,400,500,10.15,1125.263805,23.95750359,10.15,1126.561731,23.93300379,10.15,1126.484532,23.93445968
0,400,600,11.12,1232.530051,25.95698328,11.12,1234.091832,25.92844076,11.12,1233.998926,25.93013702
0,400,800,12.84,1422.614549,29.35100134,12.84,1424.705709,29.31505886,12.84,1424.581282,29.31719524
0,400,1000,14.36,1590.468853,32.15944009,14.35,1591.986014,32.13482888,14.35,1591.830063,32.13735715
0,400,1200,15.73,1741.657749,34.56679292,15.72,1743.707823,34.53530879,15.72,1743.520172,34.53818855
0,400,1400,17,1881.725815,36.64916895,16.98,1883.207196,36.62757836,16.98,1882.987844,36.63077396
0,400,1600,18.17,2010.696406,38.51081668,18.16,2013.814744,38.46756343,18.16,2013.563514,38.47104511
0,400,2000,20.32,2247.524934,41.66485476,20.3,2250.599382,41.62596153,20.3,2250.285309,41.62993198
0,400,2400,22.27,2462.146235,44.26770547,22.24,2465.169888,44.2325579,22.24,2464.793518,44.23693049
0,400,2800,24.05,2657.9271,46.49110451,24.03,2663.083385,46.43565488,24.03,2662.645375,46.44036119
0,400,3200,25.72,2841.495477,48.39596993,25.69,2846.570822,48.34519952,25.69,2846.072382,48.35018204
0,400,3600,27.29,3013.978906,50.06337902,27.25,3018.960377,50.01679948,27.25,3018.40239,50.02201382
0,400,4000,28.77,3176.500205,51.54603062,28.73,3182.47076,51.49362172,28.73,3181.853888,51.49903304
0,400,4400,30.17,3330.177379,52.87943297,30.13,3337.113226,52.82205345,30.13,3336.43884,52.82762875
0,400,4800,31.52,3478.302938,54.07116832,31.47,3485.100583,54.01800088,31.48,3485.469484,54.01511759
0,400,5200,32.81,3619.800908,55.15762306,32.76,3627.540778,55.1002184,32.76,3626.753504,55.10605375
0,500,400,9.08,1258.025076,17.63851425,9.08,1259.61808,17.61758778,9.08,1259.523317,17.6188313
0,500,500,10.15,1405.869104,19.57802563,10.15,1407.857678,19.5524708,10.15,1407.739361,19.55398948
0,500,600,11.12,1539.823697,21.28862412,11.12,1542.208018,21.25865153,11.12,1542.066132,21.26043289
0,500,800,12.85,1778.563968,24.21826679,12.84,1780.356736,24.19667875,12.84,1780.167956,24.19895029
0,500,1000,14.36,1986.773319,26.71742357,14.35,1989.346095,26.68765825,14.35,1989.110905,26.69037669
0,500,1200,15.74,2176.920135,28.86520153,15.73,2180.276184,28.8279021,15.73,2179.994368,28.83103085
0,500,1400,17,2350.424625,30.77959506,16.99,2354.551113,30.73542721,16.99,2354.223414,30.73893056
0,500,1600,18.18,2512.82144,32.4863123,18.16,2516.334763,32.45005496,18.16,2515.961749,32.45390103
0,500,2000,20.33,2808.505082,35.45552799,20.31,2813.526315,35.40718315,20.31,2813.063544,35.41163396
0,500,2400,22.27,3075.095792,37.97073807,22.25,3081.585839,37.91216396,22.25,3081.035566,37.91712433
0,500,2800,24.06,3320.905434,40.13569641,24.03,3327.457473,40.08005206,24.03,3326.82194,40.08544381
0,500,3200,25.73,3550.100167,42.03096199,25.69,3556.688189,41.97813863,25.69,3555.969091,41.98389917
0,500,3600,27.29,3764.095572,43.72347827,27.25,3772.056866,43.66301318,27.26,3772.632256,43.65864833
0,500,4000,28.77,3967.025804,45.23713635,28.73,3976.335665,45.16998564,28.73,3975.45437,45.1763356
0,500,4400,30.18,4160.282525,46.60406049,30.13,4169.539448,46.54048361,30.14,4169.954641,46.53763518
0,500,4800,31.53,4345.251025,47.84669652,31.48,4355.806946,47.77752121,31.48,4354.770136,47.78430895
0,500,5200,32.82,4521.952397,48.98957505,32.77,4533.772236,48.91550128,32.77,4532.659991,48.92246451
0,600,400,9.08,1508.926129,14.84700166,9.08,1511.200357,14.82564294,9.08,1511.065027,14.82691222
0,600,500,10.15,1686.176245,16.51661263,10.15,1689.008793,16.49041915,10.15,1688.840204,16.49197589
0,600,600,11.12,1846.763267,17.99860362,11.12,1850.152124,17.96775726,11.12,1849.950385,17.96959068
0,600,800,12.85,2132.94638,20.55946249,12.84,2135.782997,20.53443686,12.84,2135.515677,20.53679277
0,600,1000,14.37,2384.162739,22.7548557,14.36,2388.090091,22.72123839,14.36,2387.757826,22.72407886
0,600,1200,15.74,2610.415163,24.68809955,15.73,2615.414169,24.64652545,15.73,2615.018063,24.64981487
0,600,1400,17,2818.364299,26.41552225,16.99,2824.419056,26.3665641,16.99,2823.960027,26.37026986
0,600,1600,18.18,3012.996351,27.96976967,18.16,3018.441425,27.92693941,18.16,3017.920603,27.93103091
0,600,2000,20.33,3367.364167,30.70761622,20.31,3374.849697,30.65178708,20.31,3374.207285,30.65657117
0,600,2400,22.28,3688.494812,33.05092298,22.25,3696.315299,32.99547271,22.25,3695.555029,33.00085607
0,600,2800,24.07,3983.071678,35.10626147,24.03,3991.169699,35.05153071,24.04,3991.947329,35.0462829
0,600,3200,25.74,4257.736444,36.92753705,25.7,4267.719334,36.86311346,25.7,4266.732458,36.86947358
